ID,Text,Comment
Good.Timbit.DisplayName,Timberbit,This is a reference to the timbits sold at tim hortons
Good.Timbit.PluralDisplayName,Drewniane bity,This is a reference to the timbits sold at tim hortons
Good.BeaverTail.DisplayName,Beavertail,Beavertails are a typical canadian snack
Good.BeaverTail.PluralDisplayName,Bobryogony,Beavertails are a typical canadian snack
Need.Timbit.DisplayName,Timberbit,This is a reference to the timbits sold at tim hortons
Need.Timbit.PluralDisplayName,Drewniane bity,This is a reference to the timbits sold at tim hortons
Need.BeaverTail.DisplayName,Beavertail,Beavertails are a typical canadian snack
Need.BeaverTail.PluralDisplayName,Bobryogony,Beavertails are a typical canadian snack
Building.TimHortons.DisplayName,Tima Hortonsa,Tim hortons is a canadian franchise known for their timbits
Building.TimHortons.Description,"Miejsce, w którym zbierają się bobry, aby cieszyć się świeżo przygotowanymi Timberbitami",Tim hortons is a canadian franchise known for their timbits
Building.TimHortons.FlavorDescription,"„Jeśli nie przeżuwasz Timberbitów, czy w ogóle jesteś bobrem?” — Mam Ngonel","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
